1,1,325025771,2,8,325025771-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,325025771,3,10,325025771-04c25aa02b40d058ff167c0a2e8f152ce8e854a448059c153b81e52123baac3c.pov
1,1,325025771,5,10,325025771-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,3436313223,2,8,3436313223-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,3436313223,3,10,3436313223-377c5efd3bfd336afc047fb9f50d3a53694f7d2ef3b0c701160db85f610607d9.pov
1,1,3436313223,5,10,3436313223-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,3745528879,2,8,3745528879-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,3745528879,3,10,3745528879-04c25aa02b40d058ff167c0a2e8f152ce8e854a448059c153b81e52123baac3c.pov
1,1,3745528879,5,10,3745528879-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,3471858189,2,8,3471858189-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,3471858189,3,10,3471858189-7f9e2909d6bafe9cbd00f4fb63693f41337595a6cdb2c4b00ba1730b8a50ef3a.pov
1,1,3471858189,5,10,3471858189-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,2228588998,2,8,2228588998-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,2228588998,3,10,2228588998-7f9e2909d6bafe9cbd00f4fb63693f41337595a6cdb2c4b00ba1730b8a50ef3a.pov
1,1,2228588998,5,10,2228588998-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,3007107812,2,8,3007107812-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,3007107812,3,10,3007107812-acf834e82d68e9102d3ecf1f3e4d17ddc784bd196d7889b8e68b99fb42b7bd12.pov
1,1,3007107812,5,10,3007107812-0d547c8a02ee4b4ae26682044d5d4c61c2d928e97cbc458f201b28278247cb94.pov
1,1,3686083451,2,8,3686083451-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,3686083451,3,10,3686083451-acf834e82d68e9102d3ecf1f3e4d17ddc784bd196d7889b8e68b99fb42b7bd12.pov
1,1,3686083451,5,10,3686083451-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,914490513,2,8,914490513-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,914490513,3,10,914490513-40a462fba642b5523485e51c3e13e86ea07a309806f20ba362290c4af41a5617.pov
1,1,914490513,5,10,914490513-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,3217895783,2,8,3217895783-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,3217895783,3,10,3217895783-acf834e82d68e9102d3ecf1f3e4d17ddc784bd196d7889b8e68b99fb42b7bd12.pov
1,1,3217895783,5,10,3217895783-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,1,1204538468,2,8,1204538468-d743a2a8740a29263fb142f8bdd1f012dda1c785122f58aa30f67b2ea6668a1a.pov
1,1,1204538468,3,10,1204538468-d3f3d1efa39e53fb7ce6545dbfa01a25de7408c2a259a9914fe84ff92a69bf5b.pov
1,1,1204538468,5,10,1204538468-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,2,325025771,1,10,325025771-285c1be1096de395700935ba44701acd2299edc550a501d9d5748c8ebb57c559.pov
1,2,325025771,3,10,325025771-40a462fba642b5523485e51c3e13e86ea07a309806f20ba362290c4af41a5617.pov
1,2,325025771,5,10,325025771-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,2,3436313223,1,10,3436313223-285c1be1096de395700935ba44701acd2299edc550a501d9d5748c8ebb57c559.pov
1,2,3436313223,3,10,3436313223-377c5efd3bfd336afc047fb9f50d3a53694f7d2ef3b0c701160db85f610607d9.pov
1,2,3436313223,5,10,3436313223-12d8733f48efea58c788fcc20af544009e107701e14c793887add1c7b3320391.pov
1,2,3745528879,1,10,3745528879-285c1be1096de395700935ba44701acd2299edc550a501d9d5748c8ebb57c559.pov
1,2,3745528879,3,10,3745528879-7f9e2909d6bafe9cbd00f4fb63693f41337595a6cdb2c4b00ba1730b8a50ef3a.pov
